ID: M1026, Occurrences: 28
ID: M1056, Occurrences: 27
ID: M1031, Occurrences: 24
ID: M1018, Occurrences: 22
ID: M1017, Occurrences: 22
ID: M1027, Occurrences: 17
ID: M1040, Occurrences: 17
ID: M1047, Occurrences: 17
ID: M1038, Occurrences: 16
ID: M1028, Occurrences: 16
ID: M1042, Occurrences: 15
ID: M1021, Occurrences: 15
ID: M1032, Occurrences: 14
ID: M1049, Occurrences: 13
ID: M1022, Occurrences: 11
ID: M1051, Occurrences: 10
ID: M1030, Occurrences: 10
ID: M1037, Occurrences: 10
ID: M1054, Occurrences: 10
ID: M1041, Occurrences: 8
ID: M1048, Occurrences: 7
ID: M1050, Occurrences: 7
ID: M1015, Occurrences: 6
ID: M1024, Occurrences: 6
ID: M1045, Occurrences: 5
ID: M1057, Occurrences: 5
ID: M1036, Occurrences: 4
ID: M1035, Occurrences: 4
ID: M1013, Occurrences: 4
ID: M1016, Occurrences: 4
ID: M1020, Occurrences: 3
ID: M1033, Occurrences: 3
ID: M1043, Occurrences: 2
ID: M1025, Occurrences: 2
ID: M1019, Occurrences: 2
ID: M1029, Occurrences: 2
ID: M1046, Occurrences: 1
