Mitigation ID,Occurrences,Techniques,Priority
M1026,72,T1059 (score: 1); T1059.001 (score: 1); T1218 (score: 1); T1190 (score: 3); T1021.002 (score: 3); T1053 (score: 3); T1053.005 (score: 3); T1078 (score: 3); T1078.002 (score: 3); T1047 (score: 3); T1210 (score: 4); T1003 (score: 4); T1003.002 (score: 4); T1003.003 (score: 4); T1003.004 (score: 4); T1055 (score: 4); T1021.001 (score: 4); T1553 (score: 4); T1548 (score: 5); T1548.002 (score: 5); T1555 (score: 5); T1559 (score: 5); T1559.001 (score: 5); T1003.001 (score: 5); T1003.005 (score: 5); T1552 (score: 5); T1098 (score: 8); T1136 (score: 8); T1136.002 (score: 8); T1543 (score: 8); T1543.002 (score: 8); T1484 (score: 8); T1505 (score: 8); T1505.001 (score: 8); T1072 (score: 8); T1546 (score: 12); T1546.003 (score: 12); T1078.003 (score: 18); T1136.001 (score: 20); T1134 (score: 22); T1134.002 (score: 22); T1553.006 (score: 22); T1098.003 (score: 24); T1136.003 (score: 24); T1003.006 (score: 24); T1078.004 (score: 24); T1550 (score: 26); T1550.002 (score: 26); T1053.002 (score: 30); T1550.003 (score: 30); T1558 (score: 31); T1558.001 (score: 31); T1569 (score: 31); T1569.002 (score: 31); T1218.007 (score: 36); T1222 (score: 37); T1222.002 (score: 37); T1552.002 (score: 37); T1021.006 (score: 49); T1563 (score: 51); T1563.002 (score: 51); T1098.002 (score: 56); T1098.001 (score: 57); T1651 (score: 57); T1059.009 (score: 57); T1484.002 (score: 57); T1606 (score: 57); T1606.002 (score: 57); T1556 (score: 57); T1556.007 (score: 57); T1021.007 (score: 57); T1558.003 (score: 57),1552
M1047,58,T1566 (score: 1); T1560 (score: 3); T1560.001 (score: 3); T1562 (score: 3); T1562.004 (score: 3); T1021 (score: 3); T1053 (score: 3); T1053.005 (score: 3); T1574 (score: 4); T1574.001 (score: 4); T1027 (score: 4); T1021.001 (score: 4); T1548 (score: 5); T1548.002 (score: 5); T1059.006 (score: 5); T1566.002 (score: 5); T1552 (score: 5); T1552.001 (score: 5); T1543 (score: 8); T1543.003 (score: 8); T1213 (score: 8); T1484 (score: 8); T1484.001 (score: 8); T1562.002 (score: 8); T1593 (score: 8); T1505 (score: 8); T1505.001 (score: 8); T1114 (score: 20); T1027.011 (score: 22); T1213.001 (score: 24); T1213.002 (score: 24); T1213.003 (score: 24); T1114.003 (score: 24); T1578 (score: 24); T1578.002 (score: 24); T1578.003 (score: 24); T1593.003 (score: 24); T1552.008 (score: 24); T1176 (score: 26); T1550 (score: 26); T1021.005 (score: 29); T1053.002 (score: 30); T1558 (score: 31); T1552.002 (score: 37); T1482 (score: 40); T1563.002 (score: 51); T1087.004 (score: 57); T1606 (score: 57); T1606.001 (score: 57); T1606.002 (score: 57); T1070.008 (score: 57); T1556 (score: 57); T1556.007 (score: 57); T1528 (score: 57); T1649 (score: 57); T1552.004 (score: 57); T1550.001 (score: 57); T1530 (score: 60),1355
M1018,62,T1087 (score: 3); T1562 (score: 3); T1562.004 (score: 3); T1021 (score: 3); T1053 (score: 3); T1053.005 (score: 3); T1078 (score: 3); T1047 (score: 3); T1574 (score: 4); T1021.001 (score: 4); T1021.004 (score: 4); T1199 (score: 4); T1548 (score: 5); T1562.001 (score: 5); T1566.002 (score: 5); T1098 (score: 8); T1110 (score: 8); T1543 (score: 8); T1543.002 (score: 8); T1543.003 (score: 8); T1213 (score: 8); T1484 (score: 8); T1484.001 (score: 8); T1562.002 (score: 8); T1040 (score: 8); T1505 (score: 8); T1505.003 (score: 8); T1072 (score: 8); T1657 (score: 9); T1197 (score: 12); T1547.009 (score: 12); T1546.003 (score: 12); T1547.004 (score: 18); T1134 (score: 22); T1134.002 (score: 22); T1098.003 (score: 24); T1213.001 (score: 24); T1213.002 (score: 24); T1213.003 (score: 24); T1578 (score: 24); T1578.002 (score: 24); T1578.003 (score: 24); T1489 (score: 24); T1078.004 (score: 24); T1550 (score: 26); T1550.002 (score: 26); T1053.002 (score: 30); T1550.003 (score: 30); T1569 (score: 31); T1048 (score: 37); T1098.004 (score: 40); T1547.012 (score: 40); T1563 (score: 51); T1563.002 (score: 51); T1087.004 (score: 57); T1098.001 (score: 57); T1606 (score: 57); T1606.002 (score: 57); T1562.008 (score: 57); T1556 (score: 57); T1528 (score: 57); T1530 (score: 60),1303
M1056,56,T1588 (score: 1); T1588.002 (score: 1); T1583 (score: 4); T1583.001 (score: 4); T1583.006 (score: 5); T1583.004 (score: 8); T1595 (score: 8); T1595.002 (score: 8); T1586 (score: 8); T1586.001 (score: 8); T1584 (score: 8); T1584.004 (score: 8); T1584.005 (score: 8); T1587 (score: 8); T1587.001 (score: 8); T1585 (score: 8); T1585.001 (score: 8); T1585.002 (score: 8); T1592 (score: 8); T1592.002 (score: 8); T1589 (score: 8); T1589.002 (score: 8); T1589.003 (score: 8); T1590 (score: 8); T1590.001 (score: 8); T1591 (score: 8); T1591.002 (score: 8); T1588.006 (score: 8); T1594 (score: 8); T1586.002 (score: 12); T1589.001 (score: 12); T1583.003 (score: 20); T1608 (score: 20); T1608.004 (score: 20); T1584.003 (score: 22); T1584.006 (score: 22); T1588.001 (score: 22); T1584.002 (score: 24); T1591.004 (score: 24); T1597 (score: 24); T1597.002 (score: 24); T1590.005 (score: 25); T1584.001 (score: 26); T1588.005 (score: 26); T1593.001 (score: 26); T1593.002 (score: 26); T1608.001 (score: 26); T1588.004 (score: 39); T1608.005 (score: 39); T1587.002 (score: 41); T1588.003 (score: 49); T1608.002 (score: 49); T1583.002 (score: 51); T1591.001 (score: 56); T1586.003 (score: 57); T1587.003 (score: 57),1046
M1032,32,T1021 (score: 3); T1078.002 (score: 3); T1021.001 (score: 4); T1021.004 (score: 4); T1199 (score: 4); T1098 (score: 8); T1110 (score: 8); T1136 (score: 8); T1136.002 (score: 8); T1213 (score: 8); T1133 (score: 8); T1040 (score: 8); T1072 (score: 8); T1539 (score: 8); T1110.002 (score: 20); T1136.001 (score: 20); T1114 (score: 20); T1114.002 (score: 20); T1098.003 (score: 24); T1136.003 (score: 24); T1213.003 (score: 24); T1621 (score: 24); T1078.004 (score: 24); T1110.003 (score: 39); T1098.002 (score: 56); T1098.001 (score: 57); T1098.005 (score: 57); T1110.001 (score: 57); T1556 (score: 57); T1556.007 (score: 57); T1021.007 (score: 57); T1530 (score: 60),787
M1022,33,T1036 (score: 1); T1036.005 (score: 1); T1562 (score: 3); T1562.004 (score: 3); T1053 (score: 3); T1574 (score: 4); T1070 (score: 4); T1070.003 (score: 4); T1036.003 (score: 4); T1548 (score: 5); T1562.001 (score: 5); T1552 (score: 5); T1552.001 (score: 5); T1543 (score: 8); T1543.002 (score: 8); T1562.002 (score: 8); T1080 (score: 9); T1070.001 (score: 20); T1546.013 (score: 22); T1489 (score: 24); T1569 (score: 31); T1569.002 (score: 31); T1048 (score: 37); T1222 (score: 37); T1222.002 (score: 37); T1564.004 (score: 37); T1098.004 (score: 40); T1037 (score: 57); T1037.004 (score: 57); T1070.008 (score: 57); T1556 (score: 57); T1552.004 (score: 57); T1530 (score: 60),741
M1027,33,T1187 (score: 2); T1021 (score: 3); T1021.002 (score: 3); T1078 (score: 3); T1003 (score: 4); T1003.002 (score: 4); T1003.003 (score: 4); T1003.004 (score: 4); T1555 (score: 5); T1555.003 (score: 5); T1003.001 (score: 5); T1003.005 (score: 5); T1552 (score: 5); T1552.001 (score: 5); T1110 (score: 8); T1072 (score: 8); T1078.003 (score: 18); T1110.002 (score: 20); T1201 (score: 22); T1555.005 (score: 24); T1003.006 (score: 24); T1078.004 (score: 24); T1550 (score: 26); T1550.003 (score: 30); T1558 (score: 31); T1552.002 (score: 37); T1110.003 (score: 39); T1563 (score: 51); T1078.001 (score: 56); T1110.001 (score: 57); T1556 (score: 57); T1558.003 (score: 57); T1552.004 (score: 57),703
M1042,38,T1059 (score: 1); T1059.001 (score: 1); T1059.005 (score: 1); T1218 (score: 1); T1221 (score: 2); T1021 (score: 3); T1210 (score: 4); T1046 (score: 4); T1021.001 (score: 4); T1021.004 (score: 4); T1218.004 (score: 4); T1059.007 (score: 5); T1559 (score: 5); T1559.002 (score: 5); T1137 (score: 5); T1137.001 (score: 5); T1219 (score: 5); T1218.003 (score: 5); T1218.005 (score: 5); T1133 (score: 8); T1505 (score: 8); T1505.003 (score: 8); T1052 (score: 18); T1052.001 (score: 18); T1091 (score: 18); T1555.004 (score: 22); T1114.003 (score: 24); T1557 (score: 26); T1021.005 (score: 29); T1218.007 (score: 36); T1098.004 (score: 40); T1021.006 (score: 49); T1563 (score: 51); T1563.002 (score: 51); T1557.002 (score: 54); T1098.002 (score: 56); T1649 (score: 57); T1553.005 (score: 57),699
M1031,43,T1071 (score: 1); T1071.001 (score: 1); T1105 (score: 1); T1571 (score: 1); T1566 (score: 1); T1566.001 (score: 1); T1204 (score: 1); T1221 (score: 2); T1095 (score: 3); T1568 (score: 4); T1046 (score: 4); T1090 (score: 4); T1090.002 (score: 4); T1132 (score: 5); T1132.001 (score: 5); T1573 (score: 5); T1573.001 (score: 5); T1041 (score: 5); T1104 (score: 5); T1219 (score: 5); T1204.001 (score: 5); T1102 (score: 5); T1102.002 (score: 5); T1570 (score: 8); T1572 (score: 8); T1102.003 (score: 12); T1001 (score: 17); T1001.003 (score: 17); T1090.001 (score: 17); T1029 (score: 17); T1071.004 (score: 18); T1573.002 (score: 18); T1071.002 (score: 20); T1071.003 (score: 22); T1557 (score: 26); T1102.001 (score: 30); T1048 (score: 37); T1048.003 (score: 37); T1030 (score: 49); T1001.002 (score: 51); T1557.002 (score: 54); T1048.002 (score: 57); T1008 (score: 61),654
M1041,19,T1119 (score: 4); T1070 (score: 4); T1003 (score: 4); T1003.003 (score: 4); T1552 (score: 5); T1040 (score: 8); T1114 (score: 20); T1114.002 (score: 20); T1070.001 (score: 20); T1114.003 (score: 24); T1557 (score: 26); T1558 (score: 31); T1557.002 (score: 54); T1114.001 (score: 56); T1649 (score: 57); T1558.003 (score: 57); T1552.004 (score: 57); T1550.001 (score: 57); T1530 (score: 60),568
