Mitigation ID,Occurrences,Techniques,Priority
M1018,51,T1087 (score: 1); T1574 (score: 1); T1021 (score: 1); T1021.001 (score: 1); T1021.004 (score: 1); T1053 (score: 1); T1053.005 (score: 1); T1199 (score: 1); T1078 (score: 1); T1047 (score: 1); T1197 (score: 3); T1547.009 (score: 3); T1546.003 (score: 3); T1566.002 (score: 3); T1505 (score: 3); T1505.003 (score: 3); T1562 (score: 4); T1562.004 (score: 4); T1562.001 (score: 5); T1098 (score: 6); T1098.003 (score: 6); T1213 (score: 6); T1213.001 (score: 6); T1213.002 (score: 6); T1213.003 (score: 6); T1578 (score: 6); T1578.002 (score: 6); T1578.003 (score: 6); T1489 (score: 6); T1078.004 (score: 6); T1548 (score: 7); T1053.002 (score: 7); T1550 (score: 7); T1550.003 (score: 7); T1087.004 (score: 8); T1098.001 (score: 8); T1580 (score: 8); T1538 (score: 8); T1530 (score: 8); T1006 (score: 8); T1484 (score: 8); T1657 (score: 8); T1556 (score: 8); T1556.006 (score: 8); T1556.009 (score: 8); T1543 (score: 12); T1543.003 (score: 12); T1562.002 (score: 12); T1563 (score: 13); T1563.002 (score: 13); T1110 (score: 14),299
M1047,45,T1560 (score: 1); T1560.001 (score: 1); T1574 (score: 1); T1574.001 (score: 1); T1027 (score: 1); T1566 (score: 1); T1021 (score: 1); T1021.001 (score: 1); T1053 (score: 1); T1053.005 (score: 1); T1566.002 (score: 3); T1505 (score: 3); T1562 (score: 4); T1562.004 (score: 4); T1213 (score: 6); T1213.001 (score: 6); T1213.002 (score: 6); T1213.003 (score: 6); T1114 (score: 6); T1114.003 (score: 6); T1578 (score: 6); T1578.002 (score: 6); T1578.003 (score: 6); T1593 (score: 6); T1593.003 (score: 6); T1552 (score: 6); T1552.008 (score: 6); T1548 (score: 7); T1548.002 (score: 7); T1059.006 (score: 7); T1053.002 (score: 7); T1550 (score: 7); T1087.004 (score: 8); T1530 (score: 8); T1484 (score: 8); T1564.008 (score: 8); T1556 (score: 8); T1556.006 (score: 8); T1552.001 (score: 8); T1552.004 (score: 8); T1543 (score: 12); T1543.003 (score: 12); T1562.002 (score: 12); T1563.002 (score: 13); T1021.005 (score: 14),264
M1026,45,T1059 (score: 1); T1059.001 (score: 1); T1190 (score: 1); T1210 (score: 1); T1003 (score: 1); T1003.002 (score: 1); T1003.003 (score: 1); T1003.004 (score: 1); T1055 (score: 1); T1021.001 (score: 1); T1053 (score: 1); T1053.005 (score: 1); T1553 (score: 1); T1218 (score: 1); T1078 (score: 1); T1047 (score: 1); T1546 (score: 3); T1546.003 (score: 3); T1559 (score: 3); T1003.001 (score: 3); T1505 (score: 3); T1021.002 (score: 4); T1098 (score: 6); T1098.003 (score: 6); T1136 (score: 6); T1136.003 (score: 6); T1555 (score: 6); T1003.006 (score: 6); T1552 (score: 6); T1078.004 (score: 6); T1548 (score: 7); T1548.002 (score: 7); T1053.002 (score: 7); T1550 (score: 7); T1550.003 (score: 7); T1098.001 (score: 8); T1484 (score: 8); T1484.002 (score: 8); T1556 (score: 8); T1021.007 (score: 8); T1543 (score: 12); T1021.006 (score: 12); T1563 (score: 13); T1563.002 (score: 13); T1136.001 (score: 14),222
M1056,32,T1583 (score: 1); T1583.001 (score: 1); T1588 (score: 1); T1588.002 (score: 1); T1586 (score: 3); T1586.001 (score: 3); T1586.002 (score: 3); T1585 (score: 3); T1585.001 (score: 3); T1585.002 (score: 3); T1589 (score: 3); T1589.001 (score: 3); T1587 (score: 4); T1587.001 (score: 4); T1583.006 (score: 5); T1588.001 (score: 5); T1608 (score: 5); T1608.001 (score: 5); T1583.003 (score: 6); T1584 (score: 6); T1584.002 (score: 6); T1589.002 (score: 6); T1591 (score: 6); T1591.002 (score: 6); T1591.004 (score: 6); T1597 (score: 6); T1597.002 (score: 6); T1588.003 (score: 12); T1608.002 (score: 12); T1608.004 (score: 12); T1583.002 (score: 13); T1584.005 (score: 13),172
M1031,30,T1568 (score: 1); T1105 (score: 1); T1046 (score: 1); T1566 (score: 1); T1566.001 (score: 1); T1090 (score: 1); T1090.002 (score: 1); T1204 (score: 1); T1571 (score: 2); T1041 (score: 3); T1572 (score: 3); T1204.001 (score: 3); T1102 (score: 3); T1102.003 (score: 3); T1573 (score: 5); T1573.002 (score: 5); T1071 (score: 7); T1071.001 (score: 7); T1132 (score: 7); T1132.001 (score: 7); T1573.001 (score: 7); T1102.001 (score: 7); T1219 (score: 8); T1071.002 (score: 9); T1071.003 (score: 9); T1102.002 (score: 10); T1071.004 (score: 11); T1030 (score: 12); T1001 (score: 13); T1001.002 (score: 13),162
M1032,23,T1021 (score: 1); T1021.001 (score: 1); T1021.004 (score: 1); T1199 (score: 1); T1133 (score: 3); T1098 (score: 6); T1098.003 (score: 6); T1136 (score: 6); T1136.003 (score: 6); T1213 (score: 6); T1213.003 (score: 6); T1114 (score: 6); T1621 (score: 6); T1078.004 (score: 6); T1098.001 (score: 8); T1098.005 (score: 8); T1530 (score: 8); T1556 (score: 8); T1556.006 (score: 8); T1021.007 (score: 8); T1539 (score: 8); T1110 (score: 14); T1136.001 (score: 14),145
M1017,31,T1036 (score: 1); T1027 (score: 1); T1003 (score: 1); T1003.002 (score: 1); T1003.003 (score: 1); T1003.004 (score: 1); T1566 (score: 1); T1566.001 (score: 1); T1204 (score: 1); T1204.002 (score: 1); T1078 (score: 1); T1003.001 (score: 3); T1566.002 (score: 3); T1204.001 (score: 3); T1213 (score: 6); T1213.001 (score: 6); T1213.002 (score: 6); T1213.003 (score: 6); T1656 (score: 6); T1111 (score: 6); T1621 (score: 6); T1598 (score: 6); T1598.004 (score: 6); T1552 (score: 6); T1552.008 (score: 6); T1078.004 (score: 6); T1657 (score: 8); T1566.004 (score: 8); T1598.001 (score: 8); T1539 (score: 8); T1552.001 (score: 8),132
M1027,21,T1003 (score: 1); T1003.002 (score: 1); T1003.003 (score: 1); T1003.004 (score: 1); T1021 (score: 1); T1078 (score: 1); T1003.001 (score: 3); T1021.002 (score: 4); T1555 (score: 6); T1555.003 (score: 6); T1555.005 (score: 6); T1003.006 (score: 6); T1552 (score: 6); T1078.004 (score: 6); T1550 (score: 7); T1550.003 (score: 7); T1556 (score: 8); T1552.001 (score: 8); T1552.004 (score: 8); T1563 (score: 13); T1110 (score: 14),114
M1028,21,T1087 (score: 1); T1087.002 (score: 1); T1003 (score: 1); T1003.002 (score: 1); T1021.001 (score: 1); T1053 (score: 1); T1053.005 (score: 1); T1553 (score: 1); T1197 (score: 3); T1003.001 (score: 3); T1087.001 (score: 4); T1098 (score: 6); T1136 (score: 6); T1552 (score: 6); T1548 (score: 7); T1053.002 (score: 7); T1556 (score: 8); T1543 (score: 12); T1543.003 (score: 12); T1546.008 (score: 13); T1563.002 (score: 13),108
M1022,20,T1574 (score: 1); T1070 (score: 1); T1070.003 (score: 1); T1036 (score: 1); T1036.003 (score: 1); T1036.005 (score: 1); T1053 (score: 1); T1562 (score: 4); T1562.004 (score: 4); T1562.001 (score: 5); T1489 (score: 6); T1552 (score: 6); T1548 (score: 7); T1080 (score: 7); T1530 (score: 8); T1556 (score: 8); T1552.001 (score: 8); T1552.004 (score: 8); T1543 (score: 12); T1562.002 (score: 12),102
