ID: M1026, Occurrences: 46
ID: M1018, Occurrences: 44
ID: M1047, Occurrences: 32
ID: M1017, Occurrences: 28
ID: M1040, Occurrences: 24
ID: M1031, Occurrences: 22
ID: M1027, Occurrences: 22
ID: M1032, Occurrences: 21
ID: M1042, Occurrences: 20
ID: M1038, Occurrences: 18
ID: M1022, Occurrences: 18
ID: M1028, Occurrences: 16
ID: M1030, Occurrences: 15
ID: M1056, Occurrences: 15
ID: M1021, Occurrences: 14
ID: M1037, Occurrences: 13
ID: M1051, Occurrences: 12
ID: M1041, Occurrences: 11
ID: M1049, Occurrences: 10
ID: M1054, Occurrences: 10
ID: M1045, Occurrences: 7
ID: M1024, Occurrences: 7
ID: M1015, Occurrences: 7
ID: M1013, Occurrences: 7
ID: M1048, Occurrences: 5
ID: M1050, Occurrences: 5
ID: M1035, Occurrences: 5
ID: M1057, Occurrences: 4
ID: M1029, Occurrences: 4
ID: M1036, Occurrences: 4
ID: M1016, Occurrences: 4
ID: M1033, Occurrences: 4
ID: M1020, Occurrences: 3
ID: M1019, Occurrences: 3
ID: M1025, Occurrences: 3
ID: M1052, Occurrences: 3
ID: M1043, Occurrences: 2
ID: M1053, Occurrences: 1
ID: M1044, Occurrences: 1
ID: M1034, Occurrences: 1
ID: M1046, Occurrences: 1
