Mitigation ID,Occurrences,Techniques,Priority
M1018,53,T1134 (score: 2); T1134.001 (score: 2); T1546.003 (score: 2); T1048 (score: 2); T1566.002 (score: 2); T1021 (score: 2); T1021.001 (score: 2); T1053 (score: 2); T1053.005 (score: 2); T1078 (score: 2); T1047 (score: 2); T1087 (score: 3); T1574 (score: 3); T1021.004 (score: 3); T1199 (score: 3); T1505 (score: 4); T1505.003 (score: 4); T1562 (score: 6); T1562.001 (score: 6); T1098 (score: 7); T1098.003 (score: 7); T1213 (score: 7); T1213.001 (score: 7); T1213.002 (score: 7); T1213.003 (score: 7); T1578 (score: 7); T1578.002 (score: 7); T1578.003 (score: 7); T1489 (score: 7); T1078.004 (score: 7); T1548 (score: 8); T1053.002 (score: 8); T1550 (score: 8); T1550.003 (score: 8); T1087.004 (score: 9); T1098.001 (score: 9); T1580 (score: 9); T1538 (score: 9); T1530 (score: 9); T1006 (score: 9); T1484 (score: 9); T1657 (score: 9); T1556 (score: 9); T1556.006 (score: 9); T1556.009 (score: 9); T1197 (score: 13); T1110 (score: 13); T1543 (score: 13); T1543.003 (score: 13); T1562.006 (score: 13); T1569 (score: 13); T1550.002 (score: 13); T1562.002 (score: 14),367
M1047,45,T1566 (score: 1); T1560 (score: 2); T1560.001 (score: 2); T1482 (score: 2); T1027 (score: 2); T1566.002 (score: 2); T1021 (score: 2); T1021.001 (score: 2); T1053 (score: 2); T1053.005 (score: 2); T1574 (score: 3); T1574.001 (score: 3); T1059.006 (score: 4); T1505 (score: 4); T1562 (score: 6); T1213 (score: 7); T1213.001 (score: 7); T1213.002 (score: 7); T1213.003 (score: 7); T1114 (score: 7); T1114.003 (score: 7); T1578 (score: 7); T1578.002 (score: 7); T1578.003 (score: 7); T1593 (score: 7); T1593.003 (score: 7); T1552 (score: 7); T1552.008 (score: 7); T1548 (score: 8); T1548.002 (score: 8); T1053.002 (score: 8); T1550 (score: 8); T1087.004 (score: 9); T1530 (score: 9); T1484 (score: 9); T1564.008 (score: 9); T1556 (score: 9); T1556.006 (score: 9); T1552.001 (score: 9); T1552.004 (score: 9); T1543 (score: 13); T1543.003 (score: 13); T1542 (score: 13); T1562.002 (score: 14); T1021.005 (score: 15),302
M1026,49,T1059 (score: 1); T1059.001 (score: 1); T1218 (score: 1); T1134 (score: 2); T1134.001 (score: 2); T1546 (score: 2); T1546.003 (score: 2); T1003 (score: 2); T1003.001 (score: 2); T1055 (score: 2); T1021.001 (score: 2); T1021.002 (score: 2); T1053 (score: 2); T1053.005 (score: 2); T1078 (score: 2); T1047 (score: 2); T1190 (score: 3); T1210 (score: 3); T1003.002 (score: 3); T1003.003 (score: 3); T1003.004 (score: 3); T1553 (score: 3); T1505 (score: 4); T1098 (score: 7); T1098.003 (score: 7); T1136 (score: 7); T1136.003 (score: 7); T1555 (score: 7); T1003.006 (score: 7); T1552 (score: 7); T1078.004 (score: 7); T1548 (score: 8); T1548.002 (score: 8); T1053.002 (score: 8); T1550 (score: 8); T1550.003 (score: 8); T1098.001 (score: 9); T1484 (score: 9); T1484.002 (score: 9); T1556 (score: 9); T1021.007 (score: 9); T1136.001 (score: 13); T1543 (score: 13); T1542 (score: 13); T1542.003 (score: 13); T1569 (score: 13); T1569.002 (score: 13); T1550.002 (score: 13); T1021.006 (score: 14),297
M1056,32,T1588 (score: 1); T1588.002 (score: 1); T1588.003 (score: 2); T1583 (score: 3); T1583.001 (score: 3); T1583.006 (score: 5); T1585 (score: 5); T1595 (score: 6); T1595.002 (score: 6); T1588.001 (score: 6); T1583.003 (score: 7); T1586 (score: 7); T1586.002 (score: 7); T1584 (score: 7); T1584.002 (score: 7); T1589 (score: 7); T1589.001 (score: 7); T1589.002 (score: 7); T1591 (score: 7); T1591.002 (score: 7); T1591.004 (score: 7); T1597 (score: 7); T1597.002 (score: 7); T1595.003 (score: 13); T1589.003 (score: 13); T1596 (score: 13); T1596.005 (score: 13); T1608 (score: 14); T1608.001 (score: 14); T1608.002 (score: 14); T1608.004 (score: 14); T1585.001 (score: 15),252
M1031,35,T1071 (score: 1); T1071.001 (score: 1); T1105 (score: 1); T1571 (score: 1); T1566 (score: 1); T1566.001 (score: 1); T1204 (score: 1); T1573 (score: 2); T1573.002 (score: 2); T1048 (score: 2); T1048.003 (score: 2); T1204.001 (score: 2); T1102 (score: 2); T1568 (score: 3); T1046 (score: 3); T1090 (score: 3); T1090.002 (score: 3); T1132 (score: 8); T1132.001 (score: 8); T1573.001 (score: 8); T1102.001 (score: 8); T1572 (score: 9); T1219 (score: 9); T1071.002 (score: 10); T1071.003 (score: 10); T1102.002 (score: 11); T1071.004 (score: 12); T1001 (score: 13); T1001.003 (score: 13); T1030 (score: 13); T1568.002 (score: 13); T1041 (score: 13); T1008 (score: 13); T1570 (score: 13); T1104 (score: 13),228
M1032,24,T1021 (score: 2); T1021.001 (score: 2); T1021.004 (score: 3); T1199 (score: 3); T1098 (score: 7); T1098.003 (score: 7); T1136 (score: 7); T1136.003 (score: 7); T1213 (score: 7); T1213.003 (score: 7); T1114 (score: 7); T1133 (score: 7); T1621 (score: 7); T1078.004 (score: 7); T1098.001 (score: 9); T1098.005 (score: 9); T1530 (score: 9); T1556 (score: 9); T1556.006 (score: 9); T1021.007 (score: 9); T1539 (score: 9); T1110 (score: 13); T1110.002 (score: 13); T1136.001 (score: 13),182
M1022,24,T1036 (score: 1); T1036.005 (score: 1); T1048 (score: 2); T1070 (score: 2); T1070.001 (score: 2); T1053 (score: 2); T1574 (score: 3); T1070.003 (score: 3); T1036.003 (score: 3); T1562 (score: 6); T1562.001 (score: 6); T1489 (score: 7); T1552 (score: 7); T1548 (score: 8); T1080 (score: 8); T1530 (score: 9); T1556 (score: 9); T1552.001 (score: 9); T1552.004 (score: 9); T1543 (score: 13); T1562.006 (score: 13); T1569 (score: 13); T1569.002 (score: 13); T1562.002 (score: 14),163
M1017,31,T1036 (score: 1); T1566 (score: 1); T1566.001 (score: 1); T1204 (score: 1); T1204.002 (score: 1); T1027 (score: 2); T1003 (score: 2); T1003.001 (score: 2); T1566.002 (score: 2); T1204.001 (score: 2); T1078 (score: 2); T1003.002 (score: 3); T1003.003 (score: 3); T1003.004 (score: 3); T1213 (score: 7); T1213.001 (score: 7); T1213.002 (score: 7); T1213.003 (score: 7); T1656 (score: 7); T1111 (score: 7); T1621 (score: 7); T1598 (score: 7); T1598.004 (score: 7); T1552 (score: 7); T1552.008 (score: 7); T1078.004 (score: 7); T1657 (score: 9); T1566.004 (score: 9); T1598.001 (score: 9); T1539 (score: 9); T1552.001 (score: 9),155
M1028,22,T1003 (score: 2); T1003.001 (score: 2); T1021.001 (score: 2); T1053 (score: 2); T1053.005 (score: 2); T1087 (score: 3); T1087.002 (score: 3); T1003.002 (score: 3); T1553 (score: 3); T1135 (score: 4); T1098 (score: 7); T1136 (score: 7); T1552 (score: 7); T1548 (score: 8); T1053.002 (score: 8); T1556 (score: 9); T1087.001 (score: 13); T1197 (score: 13); T1543 (score: 13); T1543.003 (score: 13); T1546.008 (score: 13); T1574.006 (score: 13),150
M1038,27,T1059 (score: 1); T1059.001 (score: 1); T1059.005 (score: 1); T1036 (score: 1); T1036.005 (score: 1); T1218 (score: 1); T1204 (score: 1); T1204.002 (score: 1); T1059.003 (score: 2); T1068 (score: 2); T1047 (score: 2); T1574 (score: 3); T1574.001 (score: 3); T1106 (score: 3); T1553 (score: 3); T1218.004 (score: 3); T1059.006 (score: 4); T1562 (score: 6); T1562.001 (score: 6); T1548 (score: 8); T1080 (score: 8); T1219 (score: 9); T1059.004 (score: 13); T1059.007 (score: 13); T1546.008 (score: 13); T1574.006 (score: 13); T1218.001 (score: 13),135
